macrostate,lnp
368,-177.03693338753084
369,-177.29295516778777
370,-177.5850103653982
371,-177.93319736950636
372,-178.23745613809558
373,-178.56855434040423
374,-178.91177051426482
375,-179.21165004952988
376,-179.535998006372
377,-179.84668541712273
378,-180.1411687433001
379,-180.45157834132135
380,-180.7417902262461
381,-181.08156451303867
382,-181.406270500592
383,-181.65513366226944
384,-181.91759827050416
385,-182.21324043560855
386,-182.49219326154508
387,-182.6867719519958
388,-182.85535367937172
389,-183.1389704049492
390,-183.45902183298264
391,-183.76067995228448
392,-184.0199424899868
393,-184.2798376940453
394,-184.6020733130143
395,-184.97973937094977
396,-185.3182812155057
397,-185.58144400248537
398,-186.06604336389353
399,-186.26647846297112
400,-186.61489253791044
401,-186.78253690874982
402,-186.97905348324255
403,-187.10968232594155
404,-187.2363667902421
405,-187.3648129719192
406,-187.4845525032773
407,-187.56558932638035
408,-187.76266732069615
409,-187.97149596000853
410,-188.13047567776476
411,-188.3282573427415
412,-188.5562909302482
413,-188.77814275164224
414,-189.05617263591023
415,-189.32485784097875
416,-189.59254229890593
417,-189.86975313117756
418,-190.08241931677043
419,-190.20170878922113
420,-190.31826311165952
421,-190.46748855423618
422,-190.61953985766255
423,-190.77192278458386
424,-190.9934758466786
425,-191.21405152394829
426,-191.48366973125687
427,-191.69319357335883
428,-191.89126518588486
429,-192.0764664153068
430,-192.22768661092886
431,-192.36635695483025
432,-192.53590104531048
433,-192.68983494607656
434,-192.8063589837259
435,-192.98881147507345
436,-193.1880613431202
437,-193.3292622499555
438,-193.51533914063532
439,-193.70751856465708
440,-193.8101852615879
441,-193.89124366085474
442,-194.0764090744847
443,-194.26660664784362
444,-194.45123868265057
445,-194.72034055041047
446,-194.9817638994527
447,-195.21480283954338
448,-195.41054388319657
449,-195.64427816523647
450,-195.86311154947097
451,-196.0320793123729
452,-196.24607768645387
453,-196.48367602260825
454,-196.7335858547456
455,-196.95704232477175
456,-197.21818070192825
457,-197.4579073945192
458,-197.6790002266815
459,-197.90774181348573
460,-198.16552438888158
461,-198.34581979251146
462,-198.5648667809004
463,-198.75501264285552
464,-198.93878430662278
465,-199.08817996028625
466,-199.2372445330018
467,-199.4017915483226
468,-199.63460773877225
469,-199.7805637445474
470,-200.00783745981838
471,-200.14487439483565
472,-200.28234849534326
473,-200.4256938894551
474,-200.5652714768912
475,-200.66575216227352
476,-200.82872446236877
477,-201.0064807096668
478,-201.13580456496317
479,-201.2215007927937
480,-201.33372698565165
481,-201.50090344067723
482,-201.61666372997036
483,-201.69018148679595
484,-201.77071125684043
485,-201.85295245514519
486,-201.96874688198756
487,-202.03035531066263
488,-202.11710459662723
489,-202.27147427658326
