macrostate,lnp
161,-29.507107058567534
162,-29.201090528180128
163,-28.92688269050101
164,-28.684598163259047
165,-28.43000470343876
166,-28.154327125997078
167,-27.89206614773301
168,-27.616600913250213
169,-27.370700752319102
170,-27.095008959856308
171,-26.818290270194474
172,-26.59716955491141
173,-26.344773489928606
174,-26.032315262012766
175,-25.71957378577512
176,-25.42755798117745
177,-25.171342418757867
178,-24.905321364706687
179,-24.62562470040954
180,-24.362453855128514
181,-24.14366567999995
182,-23.917413437225072
183,-23.64548102204143
184,-23.43663355341497
185,-23.214020634932048
186,-23.001638114957053
187,-22.82412611134558
188,-22.65569303569774
189,-22.503607807045373
190,-22.33103883430696
191,-22.10364052288677
192,-21.871870719492826
193,-21.686510864126753
194,-21.49429908580877
195,-21.33993000543675
196,-21.141764673380216
197,-20.929585486742702
198,-20.708628131747936
199,-20.496822299232612
200,-20.26089914834578
201,-20.027978119471562
202,-19.779664957366244
203,-19.558289321347534
204,-19.33909477937531
205,-19.112042959575696
206,-18.91409249023608
207,-18.73888927106433
208,-18.553839757218647
209,-18.37137752713298
210,-18.239617237861616
211,-18.08955915342839
212,-17.86597112643691
213,-17.66776722823912
214,-17.480173999039415
215,-17.28067775377739
216,-17.05946030036163
217,-16.891828576469415
218,-16.711256687101276
219,-16.499246055408243
220,-16.303517874966055
221,-16.141682601401875
222,-15.991405264960385
223,-15.821832284667416
224,-15.68513197950896
225,-15.501487791092167
226,-15.322064178900666
227,-15.10455564622638
228,-14.890015542136815
229,-14.679388786636345
230,-14.50300774186966
231,-14.285895145664464
232,-14.063269556185027
233,-13.876963381842678
234,-13.700657716509491
235,-13.521028818258436
236,-13.289400546274498
237,-13.070944886409542
238,-12.89456138419181
239,-12.733891235126215
240,-12.610686462485013
241,-12.48591070010688
242,-12.363220145313825
243,-12.215670121275515
244,-12.128641670139963
245,-12.007083599817443
246,-11.879815378043228
247,-11.76874388478624
248,-11.600600756848086
249,-11.454038161782854
250,-11.3671495158408
251,-11.338276071739111
252,-11.205959347086187
253,-11.074320286312663
254,-10.949018916554598
255,-10.77079207386786
256,-10.561194743625187
257,-10.356364327182895
258,-10.168046429327127
259,-10.055647634867718
260,-9.891120659756588
261,-9.766016298806484
262,-9.6253825099731
263,-9.534772359700163
264,-9.491717435679254
265,-9.413766916412134
266,-9.349319047963412
267,-9.282578428149044
268,-9.215426052424995
269,-9.164581263305116
270,-9.08529508133555
271,-9.004844362342773
272,-8.947556437616221
273,-8.846797115860603
274,-8.687683276501993
275,-8.522244092995074
276,-8.354099104218143
277,-8.195175647082841
278,-8.042243420230228
279,-7.865750948099424
280,-7.716209533531618
281,-7.562247314080004
282,-7.40318495116302
283,-7.332057143773831
284,-7.2630822543047
285,-7.15646124243748
286,-7.008989878904835
287,-6.873953811695209
288,-6.806988404196353
289,-6.662857662542969
290,-6.549744891290324
291,-6.4428193212700435
292,-6.30815325128939
293,-6.2636205519137675
294,-6.219241245838624
295,-6.078866310669618
296,-5.911633652677246
297,-5.799799113592634
298,-5.685573681121845
299,-5.576148983534985
300,-5.526810472802403
301,-5.441356819267334
302,-5.296845782683285
303,-5.122238494743932
304,-5.0618679978037235
305,-4.9692468456256975
306,-4.8723675834921
307,-4.771903515092312
308,-4.731704399484933
309,-4.6053958261408425
310,-4.501946179892151
311,-4.389897430649093
312,-4.269485522414506
313,-4.2736386151298476
314,-4.22424554868477
315,-4.25101192639287
316,-4.25456968745258
317,-4.193901347121859
318,-4.049625373522794
319,-3.9986872083464178
320,-3.9911564368348214
321,-3.91335112143512
322,-3.749180856973829
323,-3.723466241405994
324,-3.620889482745078
325,-3.5812559669246085
326,-3.5813992093371
327,-3.548540294348335
328,-3.5022382664231273
329,-3.379973036518358
330,-3.4490610147726457
331,-3.5304184025585883
332,-3.3882500054069524
333,-3.415299787604603
334,-3.4701380744923327
335,-3.5767342339081907
336,-3.598257531791127
337,-3.6366962710716635
338,-3.6907995205513444
339,-3.7712394923735606
340,-3.893644900246421
341,-4.028674923473353
342,-4.032941972185121
343,-4.132679893536682
344,-4.207919089446968
345,-4.308406025163016
346,-4.435059113343222
347,-4.612718297683308
348,-4.78309409905345
349,-4.849302161529899
350,-4.893728356129067
351,-4.952586940059781
352,-5.0427909323251825
353,-5.178954028512443
354,-5.215408802215201
355,-5.3745521567918
356,-5.488187246331712
357,-5.65325755361031
358,-5.788458254779279
359,-5.864410313975476
360,-5.9393596578253565
361,-6.20047519401934
362,-6.409747469980893
363,-6.620030115449175
364,-6.749458708395004
365,-7.025603284439093
366,-7.157526275671366
367,-7.427549065887129
368,-7.597261455835031
369,-7.906815152840216
370,-8.097801751150122
371,-8.25464384093258
372,-8.296169724571804
373,-8.559410865165923
374,-8.748039214866516
375,-9.056908522026484
376,-9.290868520854964
377,-9.674296671004447
378,-10.04508169382806
379,-10.466214125851288
380,-11.030204076529039
381,-11.383012352839652
382,-11.834095048810731
