macrostate,lnp
326,-46.319315448083756
327,-46.16537773764739
328,-45.998726204901885
329,-45.834230030770726
330,-45.71485344252963
331,-45.59965906984624
332,-45.46909846053066
333,-45.355949902093386
334,-45.2644072508148
335,-45.155451339858786
336,-45.05257011402708
337,-44.93202483456665
338,-44.772767819959455
339,-44.729327628847074
340,-44.675806037459694
341,-44.637987905627455
342,-44.6129462067245
343,-44.57810133557578
344,-44.585347940744924
345,-44.43553987855873
346,-44.31160758668395
347,-44.17829677181831
348,-44.069030958982665
349,-43.95532062916433
350,-43.78172509870487
351,-43.75443268937463
352,-43.64275395390821
353,-43.680153706199036
354,-43.73221577016915
355,-43.72172544251702
356,-43.62228647842964
357,-43.56890769626176
358,-43.48191874729751
359,-43.40168850460938
360,-43.324647451177384
361,-43.24563230801842
362,-43.200249836763916
363,-43.16260056385147
364,-43.11492182069893
365,-43.14234822856448
366,-43.11674686199113
367,-43.117396347509356
368,-43.10269481769447
369,-43.03945231783811
370,-42.94220472901166
371,-42.903712039714605
372,-42.85253092056291
373,-42.772675772168974
374,-42.72538060288971
375,-42.67015804455459
376,-42.586049249640105
377,-42.51099130067858
378,-42.426876813835186
379,-42.33102364000681
380,-42.15801898938701
381,-42.11695682709621
382,-42.12927595568021
383,-42.03112390730868
384,-41.86129062834999
385,-41.66646866381961
386,-41.51232667383078
387,-41.301384044333
388,-41.162494807847054
389,-41.01404133842102
390,-40.992177264029756
391,-40.994025250242686
392,-41.06646791015767
393,-41.14591368755432
394,-41.178915119571506
395,-41.2572146798753
396,-41.26021471362559
397,-41.20291050832778
398,-41.091786656297174
399,-40.95048325597638
400,-40.872466192971906
401,-40.81272896988655
402,-40.716694539617784
403,-40.60220913015169
404,-40.457495766963724
405,-40.28853121374491
406,-40.12287377452226
407,-39.96137647585877
408,-39.86819996495259
409,-39.81797435143898
410,-39.7909463570295
411,-39.80460418886378
412,-39.764209656511774
413,-39.69024223579091
414,-39.64590190520013
415,-39.632637124035924
416,-39.576041818219174
417,-39.45064097751375
418,-39.411387522458504
419,-39.371338925112646
420,-39.35981583009578
421,-39.319720707239796
422,-39.19947049038633
423,-39.050945938013896
424,-38.8715226960229
425,-38.6950780551476
426,-38.51208420657947
427,-38.36643850322545
428,-38.265899046189205
429,-38.14717772529629
430,-38.09854317436683
431,-38.05256055707078
432,-37.974200153315024
433,-37.86082550024715
434,-37.74280915059934
435,-37.5915634006441
436,-37.45013343916234
437,-37.36318954946688
438,-37.239587571818966
439,-37.1612319571144
440,-37.03046505080302
441,-36.91430974842412
442,-36.79592851585203
443,-36.65646622631613
444,-36.50659580605381
445,-36.297741530540584
446,-36.12972687797619
447,-36.04818075489988
448,-35.92778703702134
449,-35.82922655032096
450,-35.71418472640495
451,-35.717420931112464
452,-35.67309171079083
453,-35.64305025128349
454,-35.53553104048874
455,-35.45126286778751
456,-35.439647831666974
457,-35.35541904430893
458,-35.27988638295642
459,-35.22767670128667
460,-35.106473439782526
461,-34.98974553520441
462,-34.882623417345094
463,-34.77587356501519
464,-34.62435411319733
465,-34.47958630936085
466,-34.41955965915977
467,-34.29210181912027
468,-34.22284409683567
469,-34.12368630461482
470,-33.98379826900107
471,-33.85349569043042
472,-33.729117626742266
473,-33.57699338409115
474,-33.41450033574556
475,-33.19301847971536
476,-33.01584992312604
477,-32.9570302796807
478,-32.86023436368329
479,-32.69946984495728
480,-32.52980938699752
481,-32.36876643372571
482,-32.18370473332388
483,-32.06901221651906
484,-31.988547036729138
485,-31.87112654775803
486,-31.74353570102237
487,-31.66133351643019
488,-31.544855715731984
489,-31.419501196875956
490,-31.350306985577248
491,-31.25602765595141
492,-31.129687509502038
493,-31.00158881721034
494,-30.852553899624915
495,-30.577112983742897
496,-30.379036365783175
497,-30.26801651582149
498,-30.222112489806413
499,-30.1170264171724
500,-30.07544828081096
501,-30.02733606190684
502,-29.920666889756898
503,-29.856029393204032
504,-29.80353615916086
505,-29.7072718103963
506,-29.695201420131298
507,-29.712433958295794
508,-29.66920392755783
509,-29.636441531076436
510,-29.5415097461044
511,-29.394556850678462
512,-29.247659640224274
513,-29.158902193001637
514,-29.15144638807922
515,-29.091173640421772
516,-29.064993626691496
517,-28.9905741462716
518,-28.92223033738455
519,-28.848623013742603
520,-28.69723771417395
521,-28.460607568701388
522,-28.289362637061345
523,-28.181236892057594
524,-28.100936994142995
525,-28.04759122495372
526,-27.901985912566488
527,-27.743213054151504
528,-27.571973353782315
529,-27.398785023818736
530,-27.168157996701304
531,-26.94924922514622
532,-26.789470085650695
533,-26.693229822742875
534,-26.589087858508147
535,-26.48136293642735
536,-26.414883954565322
537,-26.2948691496414
538,-26.158462173102954
539,-26.021417659500763
540,-25.836353329278595
541,-25.729932883669417
542,-25.60521429010224
543,-25.434333365939345
544,-25.246509388442874
545,-25.052295336133618
546,-24.911883649328786
547,-24.723236565608463
548,-24.523461594202736
549,-24.381042622078823
550,-24.137727846602512
551,-23.979279836065114
552,-23.803554271204224
553,-23.622678747333314
554,-23.41841917383628
555,-23.239715733696368
556,-23.06201928999375
557,-22.854165390004642
558,-22.5564581559045
559,-22.352465644650795
560,-22.100953513860166
561,-21.900175938908728
562,-21.704816607558094
563,-21.58202589229885
564,-21.396528532497076
565,-21.081197179092772
566,-20.733448502041878
567,-20.45085624604137
568,-20.201508899569227
569,-19.908647205349666
570,-19.772432734958514
571,-19.573860451315202
572,-19.35937710214031
573,-19.109054825459996
574,-18.80284965392482
575,-18.663148186280388
576,-18.484483759847937
577,-18.264646589262547
578,-18.053927380464806
579,-17.82995499435198
580,-17.69329296086801
581,-17.515053466563963
582,-17.352592402339674
583,-17.150736905640734
584,-16.988032690080296
585,-16.801848247129904
586,-16.660317132998905
587,-16.573801935987362
588,-16.39689172237624
589,-16.1879736944792
590,-16.03106464557714
591,-15.866355468098991
592,-15.660412069566384
593,-15.536392598789934
594,-15.29420344510779
595,-15.107331503269958
596,-14.92822459142769
597,-14.858175879269869
598,-14.813138489156461
599,-14.703503167273027
600,-14.639654018084101
601,-14.471800623563045
602,-14.324685776133268
603,-14.12931331265952
604,-13.939019657624673
605,-13.753754670481051
606,-13.532975545560397
607,-13.345401923913975
608,-13.23394088715213
609,-13.103194313245567
610,-12.922690500583219
611,-12.828795158104587
612,-12.573153392932646
613,-12.47635806446683
614,-12.32764677440965
615,-12.124738796402465
616,-11.933891821313676
617,-11.816451251437744
618,-11.562628386750887
619,-11.282965489134696
620,-11.153283209505119
621,-10.835726742760357
622,-10.619945436057861
