,macrostate,P_up,P_down,term_1,term_2,term_3
34,364,0.0037716613634,0.011810138307000001,-2.819896531341884e-17,5.897401647914495e-38,-1.597291416016843e-57
35,374,0.0039129567846,0.011914693689999999,-2.882753124785012e-17,6.757834352763584e-38,-8.484522956764781e-60
36,385,0.0039469377142,0.011434929177000001,-2.960035445750874e-17,6.495314778050215e-38,-2.5215410125381474e-57
37,396,0.0037007142349,0.011604329763,-3.0472114557709344e-17,7.633786493903843e-38,-2.9252529558805656e-57
38,407,0.0035061364327,0.011351139586,-3.135369766841039e-17,5.833655291653037e-38,-2.001311577559139e-57
39,417,0.0034877113511,0.011420568729,-3.195025598176446e-17,5.314788988612211e-38,9.928194443449181e-58
40,428,0.003824752566,0.011086699434,-3.261335823686773e-17,7.573463792222847e-38,-3.930144808975417e-57
41,439,0.0037710824621,0.010441249123,-3.341300347831732e-17,6.749650486632689e-38,1.6666528344343857e-57
42,449,0.0030374269869,0.010812726813,-3.452553629017644e-17,6.789423060138769e-38,3.3907509290582836e-57
43,460,0.0034507046795999997,0.010471966152,-3.5032728711080994e-17,6.713460181658692e-38,-1.826240973189096e-57
44,471,0.0031838892491,0.010036130249,-3.5979995453239006e-17,6.09111275520551e-38,-7.311007402022677e-58
45,481,0.00328607547,0.0099321506596,-3.670957130159205e-17,6.279100292736947e-38,8.998304616582912e-58
46,492,0.0032176165685,0.0098578274274,-3.7492785153909534e-17,6.645374785458435e-38,1.532349582549134e-57
47,503,0.0031901587922,0.0098382927486,-3.83111048288486e-17,7.052184770913405e-38,-5.7053490876477655e-58
48,514,0.0032862096635999996,0.010134283393,-3.906232215293092e-17,8.659165070325992e-38,-4.909629661113717e-57
49,524,0.0032295174463999998,0.009855656453299999,-3.9788177362243504e-17,9.097980971019228e-38,-7.46315796592792e-58
50,535,0.0034999929126,0.01020655979,-4.0557260336169993e-17,7.710359400917058e-38,-2.804783116543588e-57
51,546,0.0031218915806,0.0093156618646,-4.14744206140003e-17,6.54597925437282e-38,1.4808866739659494e-57
52,556,0.0031376962498000003,0.010022924265,-4.212318521741913e-17,1.1913456689243382e-37,-1.2388703681081962e-57
53,567,0.0024558097903,0.0086635366655,-4.322685873333e-17,8.196455352850056e-38,-3.69931046095831e-57
54,578,0.0030168784269999998,0.0095753810051,-4.382430677833866e-17,1.1084875072282921e-37,-5.983620031545413e-57
55,588,0.0029419433917,0.009475545272,-4.453068872525422e-17,7.721305545410756e-38,-6.322125845323785e-58
56,599,0.0031908732973,0.0096712106633,-4.5240019033719346e-17,1.0108380814461659e-37,-4.990175646277951e-57
57,610,0.0031237381953,0.0093598841889,-4.620015377859388e-17,6.685159782060416e-38,-2.4808701686162366e-59
58,621,0.0028050068091999996,0.0088967406299,-4.710294393506571e-17,7.327374347665784e-38,-1.3485878350658076e-57
59,631,0.002563172245,0.0085236208631,-4.795234711835917e-17,8.212228731997342e-38,-6.753803854662607e-58
60,642,0.0023861591042,0.0081966963979,-4.886067802710509e-17,9.101340662260469e-38,-7.037125509110292e-58
61,653,0.0022833573483,0.0083041869834,-4.9651640273736956e-17,9.10808732705929e-38,-1.0634961628371972e-57
62,663,0.0020406514494,0.0080806580785,-5.049772967860356e-17,8.868709747066344e-38,-4.294899030855018e-57
63,674,0.0018238861862999998,0.0078304033666,-5.155206457832685e-17,8.847137158131323e-38,-1.0635286100389334e-56
64,685,0.001639504192,0.0073166685741,-5.249879790477173e-17,1.0062051135540697e-37,5.577135653301095e-57
65,695,0.0014648813535,0.0067000523193,-5.3489863346008795e-17,8.652401325423144e-38,2.6111755605441733e-57
66,706,0.0012411663040999999,0.0069055073922,-5.433221415565936e-17,7.629913627921061e-38,2.1513771399621726e-57
67,717,0.0010913485162,0.006684860397399999,-5.527723044761085e-17,7.468639431964321e-38,-2.1963005013918732e-57
68,728,0.0010295230920000001,0.0062102050321,-5.632123704937456e-17,8.004023947084669e-38,1.6475833526098781e-57
69,738,0.0008977882102699999,0.006320466147899999,-5.706288505816897e-17,9.70570310841763e-38,-5.0788553870720746e-57
70,749,0.00081617026834,0.0058692394232,-5.812342594279538e-17,7.932411836275721e-38,-1.5731594839145106e-57
71,760,0.00065154939399,0.0058306784629,-5.902139336097183e-17,8.365315041335046e-38,-4.694837435636483e-57
72,770,0.00059841318213,0.0057454334215,-6.001335302369314e-17,8.840268561584053e-38,-4.597717391380586e-59
73,781,0.00054711708635,0.005368523978899999,-6.098709581365654e-17,8.378620536384312e-38,3.3198624842271335e-57
74,792,0.00047518483579,0.0053721158924999995,-6.191010725418055e-17,1.0249551468623085e-37,-6.200651527058996e-57
75,802,0.00040525149724,0.0052054405861000005,-6.280155043285797e-17,9.14603737893285e-38,9.290595947419212e-58
76,813,0.00033293979204,0.005216606887399999,-6.362207647245992e-17,8.711695724167892e-38,6.105938413956459e-58
77,824,0.00027551186396,0.004811742421899999,-6.473616541579645e-17,9.991905266195504e-38,2.0486851701161004e-57
78,835,0.00025414431226,0.0047711154036,-6.574365547918804e-17,9.046767044097672e-38,1.5080520987335024e-57
79,845,0.00022549898700000002,0.0048005796453,-6.661501444786748e-17,9.618951823669467e-38,-1.868495440289393e-57
80,856,0.00017377656377,0.0043284579706000005,-6.778767423315872e-17,1.0199560333455128e-37,-5.709564413826071e-57
81,867,0.00014039699318999999,0.0041977770127,-6.864141561070833e-17,1.057785396726159e-37,-6.767704695049779e-57
82,877,0.00012597112979,0.004355494860899999,-6.954252179299031e-17,9.237172281349551e-38,3.529193087493863e-57
83,888,0.00011295351777,0.0041189244388,-7.056845627516289e-17,1.2348443089847777e-37,4.76279639013047e-57
